Id,Name,Channle,Episode,Air_time,Air_date,Family_rating
28771_1,絕對零度之防犯未然2,富士電視台,1,21:00,2020-01-06,0.106
28771_1,絕對零度之防犯未然2,富士電視台,2,21:00,2020-01-13,0.107
28771_1,絕對零度之防犯未然2,富士電視台,3,21:00,2020-01-20,0.086
28771_1,絕對零度之防犯未然2,富士電視台,4,21:00,2020-01-27,0.098
28771_1,絕對零度之防犯未然2,富士電視台,5,21:00,2020-02-03,0.106
28771_1,絕對零度之防犯未然2,富士電視台,6,21:00,2020-02-10,0.092
28771_1,絕對零度之防犯未然2,富士電視台,7,21:00,2020-02-17,0.097
28771_1,絕對零度之防犯未然2,富士電視台,8,21:00,2020-02-24,0.095
28771_1,絕對零度之防犯未然2,富士電視台,9,21:00,2020-03-02,0.1
28771_1,絕對零度之防犯未然2,富士電視台,10,21:00,2020-03-09,0.106
28771_1,絕對零度之防犯未然2,富士電視台,完結篇,21:00,2020-03-16,0.097
29315_1,治療醫院的方法,東京電視台,1,22:00,2020-01-20,0.081
29315_1,治療醫院的方法,東京電視台,2,22:00,2020-01-27,0.07
29315_1,治療醫院的方法,東京電視台,3,22:00,2020-02-03,0.071
29315_1,治療醫院的方法,東京電視台,4,22:00,2020-02-10,0.057
29315_1,治療醫院的方法,東京電視台,5,22:00,2020-02-17,0.062
29315_1,治療醫院的方法,東京電視台,6,22:00,2020-02-24,0.063
29315_1,治療醫院的方法,東京電視台,完結篇,22:00,2020-03-02,0.064
29313_1,10的秘密,富士電視台,1,21:00,2020-01-14,0.089
29313_1,10的秘密,富士電視台,2,21:00,2020-01-21,0.079
29313_1,10的秘密,富士電視台,3,21:00,2020-01-28,0.067
29313_1,10的秘密,富士電視台,4,21:00,2020-02-04,0.062
29313_1,10的秘密,富士電視台,5,21:00,2020-02-11,0.054
29313_1,10的秘密,富士電視台,6,21:00,2020-02-18,0.064
29313_1,10的秘密,富士電視台,7,21:00,2020-02-25,0.06
29313_1,10的秘密,富士電視台,8,21:00,2020-03-03,0.064
29313_1,10的秘密,富士電視台,9,21:00,2020-03-10,0.069
